road,id,model_type,condition,name,lat,lon,length
N1,1000312,bridge,B,JAGARNATHPUR BOX CULVERT,23.1389893200345,91.3263585348877,6.1
N1,1000313,link,Z,Km post missing,23.1382219,91.3263049,986.4931937555739
N1,1000314,bridge,B,DIMATOLY (2) BOX CULVERT,23.1436667679334,91.3266680470308,3.5
N1,1000315,link,Z,Km post missing,23.1471663,91.3266938,995.3664806534222
N1,1000316,link,Z,Box culvert,23.1480274,91.3264993,97.79324241879432
N1,1000317,bridge,B,DIMATOLI (1) BOX CULVERT,23.1527364949367,91.3243178772152,6.3
N1,1000318,link,Z,Km post missing,23.1554167,91.3232771,885.2358199236588
N1,1000319,bridge,A,ANDAJER BAZER BOX CULVERT,23.1635138669191,91.3215889464646,9.5
N1,1000320,link,Z,Km post missing,23.1641389,91.3214993,986.7474462884945
N1,1000321,link,Z,Bridge end,23.1680549,91.3213604,435.670795115974
N1,1000322,bridge,B,NANKORA BOX CULVERT,23.1726272318681,91.3205774642857,3.1
